,year,state,party_win,winner_votes,state_total_votes,electoral_votes,votes_to_flip,national_winner,winner_state
0,1976,ALABAMA,DEMOCRAT,659170,1182850,9.0,77551.0,D,True
1,1976,ALASKA,REPUBLICAN,71555,123574,3.0,13750.0,D,False
2,1976,ARIZONA,REPUBLICAN,418642,742719,6.0,61521.0,D,False
3,1976,ARKANSAS,DEMOCRAT,498604,767535,6.0,115352.0,D,True
4,1976,CALIFORNIA,REPUBLICAN,3882244,7803770,45.0,69981.0,D,False
5,1976,COLORADO,REPUBLICAN,584278,1081440,7.0,61740.0,D,False
6,1976,CONNECTICUT,REPUBLICAN,719261,1386355,8.0,35684.0,D,False
7,1976,DELAWARE,DEMOCRAT,122461,235642,3.0,6342.0,D,True
8,1976,FLORIDA,DEMOCRAT,1636000,3150631,17.0,83236.0,D,True
9,1976,GEORGIA,DEMOCRAT,979409,1463152,12.0,247834.0,D,True
10,1976,HAWAII,DEMOCRAT,147375,291301,4.0,3687.0,D,True
11,1976,IDAHO,REPUBLICAN,204151,340932,4.0,38802.0,D,False
12,1976,ILLINOIS,REPUBLICAN,2364269,4721282,26.0,46488.0,D,False
13,1976,INDIANA,REPUBLICAN,1183958,2220362,13.0,84623.0,D,False
14,1976,IOWA,REPUBLICAN,632864,1279303,8.0,6468.0,D,False
15,1976,KANSAS,REPUBLICAN,502752,957845,7.0,36167.0,D,False
16,1976,KENTUCKY,DEMOCRAT,615717,1167142,9.0,41934.0,D,True
17,1976,LOUISIANA,DEMOCRAT,661365,1277383,10.0,36961.0,D,True
18,1976,MAINE,REPUBLICAN,236320,482968,4.0,2022.0,D,False
19,1976,MARYLAND,DEMOCRAT,759612,1432273,10.0,43477.0,D,True
20,1976,MASSACHUSETTS,DEMOCRAT,1429475,2547558,14.0,199601.0,D,True
21,1976,MICHIGAN,REPUBLICAN,1893742,3651590,21.0,98515.0,D,False
22,1976,MINNESOTA,DEMOCRAT,1070440,1949931,10.0,125524.0,D,True
23,1976,MISSISSIPPI,DEMOCRAT,381329,768390,7.0,7243.0,D,True
24,1976,MISSOURI,DEMOCRAT,998387,1953600,12.0,35473.0,D,True
25,1976,MONTANA,REPUBLICAN,173703,328734,4.0,12223.0,D,False
26,1976,NEBRASKA,REPUBLICAN,359219,606749,5.0,62964.0,D,False
27,1976,NEVADA,REPUBLICAN,101273,201876,3.0,4398.0,D,False
28,1976,NEW HAMPSHIRE,REPUBLICAN,185935,339627,4.0,19146.0,D,False
29,1976,NEW JERSEY,REPUBLICAN,1509688,3014472,17.0,32519.0,D,False
30,1976,NEW MEXICO,REPUBLICAN,211419,416590,4.0,5137.0,D,False
31,1976,NEW YORK,DEMOCRAT,3244165,6668262,41.0,209127.0,D,True
32,1976,NORTH CAROLINA,DEMOCRAT,927365,1677906,13.0,92704.0,D,True
33,1976,NORTH DAKOTA,REPUBLICAN,153684,297308,3.0,8804.0,D,False
34,1976,OHIO,DEMOCRAT,2009959,4110456,25.0,4668.0,D,True
35,1976,OKLAHOMA,REPUBLICAN,545708,1092251,8.0,6634.0,D,False
36,1976,OREGON,REPUBLICAN,492120,1029876,6.0,858.0,D,False
37,1976,PENNSYLVANIA,DEMOCRAT,2328677,4620787,27.0,61538.0,D,True
38,1976,RHODE ISLAND,DEMOCRAT,227636,410584,4.0,23195.0,D,True
39,1976,SOUTH CAROLINA,DEMOCRAT,450807,802583,8.0,52330.0,D,True
40,1976,SOUTH DAKOTA,REPUBLICAN,151505,300678,4.0,2220.0,D,False
41,1976,TENNESSEE,DEMOCRAT,825879,1476346,10.0,95956.0,D,True
42,1976,TEXAS,DEMOCRAT,2082319,4071884,26.0,64511.0,D,True
43,1976,UTAH,REPUBLICAN,337908,541218,4.0,77900.0,D,False
44,1976,VERMONT,REPUBLICAN,100387,183902,3.0,11296.0,D,False
45,1976,VIRGINIA,REPUBLICAN,836554,1697094,12.0,11330.0,D,False
46,1976,WASHINGTON,REPUBLICAN,777732,1555534,9.0,30206.0,D,False
47,1976,WEST VIRGINIA,DEMOCRAT,435864,750590,6.0,60570.0,D,True
48,1976,WISCONSIN,DEMOCRAT,1040232,2101336,11.0,17624.0,D,True
49,1976,WYOMING,REPUBLICAN,92717,156343,3.0,15240.0,D,False
50,1980,ALABAMA,REPUBLICAN,654192,1341929,9.0,8732.0,R,True
51,1980,ALASKA,REPUBLICAN,86112,158445,3.0,22136.0,R,True
52,1980,ARIZONA,REPUBLICAN,529688,873945,6.0,141424.0,R,True
53,1980,ARKANSAS,REPUBLICAN,403164,837582,6.0,2563.0,R,True
54,1980,CALIFORNIA,REPUBLICAN,4522994,8582938,45.0,720027.0,R,True
55,1980,COLORADO,REPUBLICAN,652264,1184450,7.0,142129.0,R,True
56,1980,CONNECTICUT,REPUBLICAN,677210,1406285,8.0,67740.0,R,True
57,1980,DELAWARE,REPUBLICAN,111252,235668,3.0,2750.0,R,True
58,1980,FLORIDA,REPUBLICAN,2046951,3686927,17.0,313739.0,R,True
59,1980,GEORGIA,DEMOCRAT,890955,1596805,12.0,118395.0,R,False
60,1980,HAWAII,DEMOCRAT,135879,303287,4.0,2885.0,R,False
61,1980,IDAHO,REPUBLICAN,290699,437431,4.0,90255.0,R,True
62,1980,ILLINOIS,REPUBLICAN,2358049,4749721,26.0,188319.0,R,True
63,1980,INDIANA,REPUBLICAN,1255656,2242033,13.0,205731.0,R,True
64,1980,IOWA,REPUBLICAN,676026,1317661,8.0,83678.0,R,True
65,1980,KANSAS,REPUBLICAN,566812,979795,7.0,120332.0,R,True
66,1980,KENTUCKY,REPUBLICAN,635274,1295627,9.0,8930.0,R,True
67,1980,LOUISIANA,REPUBLICAN,792853,1548591,10.0,42201.0,R,True
68,1980,MAINE,REPUBLICAN,238522,523011,4.0,8775.0,R,True
69,1980,MARYLAND,DEMOCRAT,726161,1540496,10.0,22779.0,R,False
70,1980,MASSACHUSETTS,REPUBLICAN,1057631,2524090,14.0,1916.0,R,True
71,1980,MICHIGAN,REPUBLICAN,1915225,3909725,21.0,126848.0,R,True
72,1980,MINNESOTA,DEMOCRAT,954173,2051916,10.0,40454.0,R,False
73,1980,MISSISSIPPI,REPUBLICAN,441089,891750,7.0,5905.0,R,True
74,1980,MISSOURI,REPUBLICAN,1074181,2099824,12.0,71501.0,R,True
75,1980,MONTANA,REPUBLICAN,206814,363952,4.0,44392.0,R,True
76,1980,NEBRASKA,REPUBLICAN,419214,639533,5.0,126396.0,R,True
77,1980,NEVADA,REPUBLICAN,155017,243692,3.0,44177.0,R,True
78,1980,NEW HAMPSHIRE,REPUBLICAN,221705,383990,4.0,56422.0,R,True
79,1980,NEW JERSEY,REPUBLICAN,1546557,2975684,17.0,199598.0,R,True
80,1980,NEW MEXICO,REPUBLICAN,250779,456237,4.0,41478.0,R,True
81,1980,NEW YORK,DEMOCRAT,2728372,6201959,41.0,45337.0,R,False
82,1980,NORTH CAROLINA,REPUBLICAN,915018,1855833,13.0,19693.0,R,True
83,1980,NORTH DAKOTA,REPUBLICAN,193695,301116,3.0,57254.0,R,True
84,1980,OHIO,REPUBLICAN,2206545,4283603,25.0,227067.0,R,True
85,1980,OKLAHOMA,REPUBLICAN,695570,1149708,8.0,146773.0,R,True
86,1980,OREGON,REPUBLICAN,571044,1181516,6.0,57078.0,R,True
87,1980,PENNSYLVANIA,REPUBLICAN,2261872,4561501,27.0,162167.0,R,True
88,1980,RHODE ISLAND,DEMOCRAT,198342,415967,4.0,21776.0,R,False
89,1980,SOUTH CAROLINA,REPUBLICAN,439277,888258,8.0,5530.0,R,True
90,1980,SOUTH DAKOTA,REPUBLICAN,198343,327703,4.0,47245.0,R,True
91,1980,TENNESSEE,REPUBLICAN,787761,1617616,10.0,2356.0,R,True
92,1980,TEXAS,REPUBLICAN,2510705,4541636,26.0,314780.0,R,True
93,1980,UTAH,REPUBLICAN,439687,604152,4.0,157712.0,R,True
94,1980,VERMONT,REPUBLICAN,94628,213299,3.0,6339.0,R,True
95,1980,VIRGINIA,REPUBLICAN,989609,1866032,12.0,118719.0,R,True
96,1980,WASHINGTON,REPUBLICAN,865244,1742394,9.0,107527.0,R,True
97,1980,WEST VIRGINIA,DEMOCRAT,367462,737715,6.0,16629.0,R,False
98,1980,WISCONSIN,REPUBLICAN,1088845,2273221,11.0,53632.0,R,True
99,1980,WYOMING,REPUBLICAN,110700,176713,3.0,30638.0,R,True
100,1984,ALABAMA,REPUBLICAN,872849,1441713,9.0,160476.0,R,True
101,1984,ALASKA,REPUBLICAN,138377,207605,3.0,38186.0,R,True
102,1984,ARIZONA,REPUBLICAN,681416,1025897,7.0,173782.0,R,True
103,1984,ARKANSAS,REPUBLICAN,534774,884406,6.0,98065.0,R,True
104,1984,CALIFORNIA,REPUBLICAN,5467009,9505041,47.0,772246.0,R,True
105,1984,COLORADO,REPUBLICAN,821817,1295380,8.0,183422.0,R,True
106,1984,CONNECTICUT,REPUBLICAN,890877,1466900,8.0,160641.0,R,True
107,1984,DELAWARE,REPUBLICAN,152190,254572,3.0,25268.0,R,True
108,1984,FLORIDA,REPUBLICAN,2730350,4180051,21.0,640768.0,R,True
109,1984,GEORGIA,REPUBLICAN,1068722,1776103,12.0,181048.0,R,True
110,1984,HAWAII,REPUBLICAN,185050,335846,4.0,18949.0,R,True
111,1984,IDAHO,REPUBLICAN,297523,411144,4.0,94508.0,R,True
112,1984,ILLINOIS,REPUBLICAN,2707103,4819088,24.0,310303.0,R,True
113,1984,INDIANA,REPUBLICAN,1377230,2233069,12.0,267876.0,R,True
114,1984,IOWA,REPUBLICAN,703088,1319805,8.0,48735.0,R,True
115,1984,KANSAS,REPUBLICAN,677296,1021991,7.0,172075.0,R,True
116,1984,KENTUCKY,REPUBLICAN,821702,1369345,9.0,141083.0,R,True
117,1984,LOUISIANA,REPUBLICAN,1037299,1706822,10.0,192858.0,R,True
