year,state,state_po,totalvotes,dem_name,rep_name,dem_votes,rep_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,E_total,D_electoral,R_electoral,overall_winner
1976,ALABAMA,AL,1182850,"CARTER, JIMMY","FORD, GERALD",659170,504070,659170,504070,77551,D,,0.0,0.0,0.0,R
1976,ALASKA,AK,123574,"CARTER, JIMMY","FORD, GERALD",44058,71555,71555,44058,13749,R,,0.0,0.0,0.0,R
1976,ARIZONA,AZ,742719,"CARTER, JIMMY","FORD, GERALD",295602,418642,418642,295602,61521,R,,0.0,0.0,0.0,R
1976,ARKANSAS,AR,767535,"CARTER, JIMMY","FORD, GERALD",498604,267903,498604,267903,115351,D,,0.0,0.0,0.0,R
1976,CALIFORNIA,CA,7803770,"CARTER, JIMMY","FORD, GERALD",3742284,3882244,3882244,3742284,69981,R,,0.0,0.0,0.0,R
1976,COLORADO,CO,1081440,"CARTER, JIMMY","FORD, GERALD",460801,584278,584278,460801,61739,R,,0.0,0.0,0.0,R
1976,CONNECTICUT,CT,1386355,"CARTER, JIMMY","FORD, GERALD",647895,719261,719261,647895,35684,R,,0.0,0.0,0.0,R
1976,DELAWARE,DE,235642,"CARTER, JIMMY","FORD, GERALD",122461,109780,122461,109780,6341,D,,0.0,0.0,0.0,R
1976,DISTRICT OF COLUMBIA,DC,168830,"CARTER, JIMMY","FORD, GERALD",137818,27873,137818,27873,54973,D,,0.0,0.0,0.0,R
1976,FLORIDA,FL,3150631,"CARTER, JIMMY","FORD, GERALD",1636000,1469531,1636000,1469531,83235,D,,0.0,0.0,0.0,R
1976,GEORGIA,GA,1463152,"CARTER, JIMMY","FORD, GERALD",979409,483743,979409,483743,247834,D,,0.0,0.0,0.0,R
1976,HAWAII,HI,291301,"CARTER, JIMMY","FORD, GERALD",147375,140003,147375,140003,3687,D,,0.0,0.0,0.0,R
1976,IDAHO,ID,340932,"CARTER, JIMMY","FORD, GERALD",126549,204151,204151,126549,38802,R,,0.0,0.0,0.0,R
1976,ILLINOIS,IL,4721282,"CARTER, JIMMY","FORD, GERALD",2271295,2364269,2364269,2271295,46488,R,,0.0,0.0,0.0,R
1976,INDIANA,IN,2220362,"CARTER, JIMMY","FORD, GERALD",1014714,1183958,1183958,1014714,84623,R,,0.0,0.0,0.0,R
1976,IOWA,IA,1279303,"CARTER, JIMMY","FORD, GERALD",619931,632864,632864,619931,6467,R,,0.0,0.0,0.0,R
1976,KANSAS,KS,957845,"CARTER, JIMMY","FORD, GERALD",430421,502752,502752,430421,36166,R,,0.0,0.0,0.0,R
1976,KENTUCKY,KY,1167142,"CARTER, JIMMY","FORD, GERALD",615717,531852,615717,531852,41933,D,,0.0,0.0,0.0,R
1976,LOUISIANA,LA,1277383,"CARTER, JIMMY","FORD, GERALD",661365,587446,661365,587446,36960,D,,0.0,0.0,0.0,R
1976,MAINE,ME,482968,"CARTER, JIMMY","FORD, GERALD",232279,236320,236320,232279,2021,R,,0.0,0.0,0.0,R
1976,MARYLAND,MD,1432273,"CARTER, JIMMY","FORD, GERALD",759612,672661,759612,672661,43476,D,,0.0,0.0,0.0,R
1976,MASSACHUSETTS,MA,2547558,"CARTER, JIMMY","FORD, GERALD",1429475,1030276,1429475,1030276,199600,D,,0.0,0.0,0.0,R
1976,MICHIGAN,MI,3651590,"CARTER, JIMMY","FORD, GERALD",1696714,1893742,1893742,1696714,98515,R,,0.0,0.0,0.0,R
1976,MINNESOTA,MN,1949931,"CARTER, JIMMY","FORD, GERALD",1070440,819395,1070440,819395,125523,D,,0.0,0.0,0.0,R
1976,MISSISSIPPI,MS,768390,"CARTER, JIMMY","FORD, GERALD",381329,366846,381329,366846,7242,D,,0.0,0.0,0.0,R
1976,MISSOURI,MO,1953600,"CARTER, JIMMY","FORD, GERALD",998387,927443,998387,927443,35473,D,,0.0,0.0,0.0,R
1976,MONTANA,MT,328734,"CARTER, JIMMY","FORD, GERALD",149259,173703,173703,149259,12223,R,,0.0,0.0,0.0,R
1976,NEBRASKA,NE,606749,"CARTER, JIMMY","FORD, GERALD",233293,359219,359219,233293,62964,R,,0.0,0.0,0.0,R
