year,state,electoral_votes,party,
1976,ALABAMA,9,D,
1980,ALABAMA,9,R,
1984,ALABAMA,9,R,
1988,ALABAMA,9,R,
1992,ALABAMA,9,R,
1996,ALABAMA,9,R,
2000,ALABAMA,9,R,
2004,ALABAMA,9,R,
2008,ALABAMA,9,R,
2012,ALABAMA,9,R,
2016,ALABAMA,9,R,
2020,ALABAMA,9,R,
1976,ALASKA,3,R,
1980,ALASKA,3,R,
1984,ALASKA,3,R,
1988,ALASKA,3,R,
1992,ALASKA,3,R,
1996,ALASKA,3,R,
2000,ALASKA,3,R,
2004,ALASKA,3,R,
2008,ALASKA,3,R,
2012,ALASKA,3,R,
2016,ALASKA,3,R,
2020,ALASKA,3,R,
1976,ARIZONA,6,R,
1980,ARIZONA,6,R,
1984,ARIZONA,7,R,
1988,ARIZONA,7,R,
1992,ARIZONA,8,R,
1996,ARIZONA,8,D,
2000,ARIZONA,8,R,
2004,ARIZONA,10,R,
2008,ARIZONA,10,R,
2012,ARIZONA,11,R,
2016,ARIZONA,11,R,
2020,ARIZONA,11,D,
1976,ARKANSAS,6,D,
1980,ARKANSAS,6,R,
1984,ARKANSAS,6,R,
1988,ARKANSAS,6,R,
1992,ARKANSAS,6,D,
1996,ARKANSAS,6,D,
2000,ARKANSAS,6,R,
2004,ARKANSAS,6,R,
2008,ARKANSAS,6,R,
2012,ARKANSAS,6,R,
2016,ARKANSAS,6,R,
2020,ARKANSAS,6,R,
1976,CALIFORNIA,45,R,
1980,CALIFORNIA,45,R,
1984,CALIFORNIA,47,R,
1988,CALIFORNIA,47,R,
1992,CALIFORNIA,54,D,
1996,CALIFORNIA,54,D,
2000,CALIFORNIA,54,D,
2004,CALIFORNIA,55,D,
2008,CALIFORNIA,55,D,
2012,CALIFORNIA,55,D,
2016,CALIFORNIA,55,D,
2020,CALIFORNIA,55,D,
1976,COLORADO,7,R,
1980,COLORADO,7,R,
1984,COLORADO,8,R,
1988,COLORADO,8,R,
1992,COLORADO,8,D,
1996,COLORADO,8,R,
2000,COLORADO,8,R,
2004,COLORADO,9,R,
2008,COLORADO,9,D,
2012,COLORADO,9,D,
2016,COLORADO,9,D,
2020,COLORADO,9,D,
1976,CONNECTICUT,8,R,
1980,CONNECTICUT,8,R,
1984,CONNECTICUT,8,R,
1988,CONNECTICUT,8,R,
1992,CONNECTICUT,8,D,
1996,CONNECTICUT,8,D,
2000,CONNECTICUT,8,D,
2004,CONNECTICUT,7,D,
2008,CONNECTICUT,7,D,
2012,CONNECTICUT,7,D,
2016,CONNECTICUT,7,D,
2020,CONNECTICUT,7,D,
1976,D.C.,3,D,
1980,D.C.,3,D,
1984,D.C.,3,D,
1988,D.C.,3,D,
1992,D.C.,3,D,
1996,D.C.,3,D,
2000,D.C.,3,D,
2004,D.C.,3,D,
2008,D.C.,3,D,
2012,D.C.,3,D,
2016,D.C.,3,D,
2020,D.C.,3,D,
1976,DELAWARE,3,D,
1980,DELAWARE,3,R,
1984,DELAWARE,3,R,
1988,DELAWARE,3,R,
1992,DELAWARE,3,D,
1996,DELAWARE,3,D,
2000,DELAWARE,3,D,
2004,DELAWARE,3,D,
2008,DELAWARE,3,D,
2012,DELAWARE,3,D,
2016,DELAWARE,3,D,
2020,DELAWARE,3,D,
1976,FLORIDA,17,D,
1980,FLORIDA,17,R,
1984,FLORIDA,21,R,
1988,FLORIDA,21,R,
1992,FLORIDA,25,R,
1996,FLORIDA,25,D,
2000,FLORIDA,25,R,
2004,FLORIDA,27,R,
2008,FLORIDA,27,D,
2012,FLORIDA,29,D,
2016,FLORIDA,29,R,
2020,FLORIDA,29,R,
1976,GEORGIA,12,D,
1980,GEORGIA,12,D,
1984,GEORGIA,12,R,
1988,GEORGIA,12,R,
1992,GEORGIA,13,D,
1996,GEORGIA,13,R,
2000,GEORGIA,13,R,
2004,GEORGIA,15,R,
2008,GEORGIA,15,R,
2012,GEORGIA,16,R,
2016,GEORGIA,16,R,
2020,GEORGIA,16,D,
1976,HAWAII,4,D,
1980,HAWAII,4,D,
1984,HAWAII,4,R,
1988,HAWAII,4,D,
1992,HAWAII,4,D,
1996,HAWAII,4,D,
2000,HAWAII,4,D,
2004,HAWAII,4,D,
2008,HAWAII,4,D,
2012,HAWAII,4,D,
2016,HAWAII,4,D,
2020,HAWAII,4,D,
1976,IDAHO,4,R,
1980,IDAHO,4,R,
1984,IDAHO,4,R,
1988,IDAHO,4,R,
1992,IDAHO,4,R,
1996,IDAHO,4,R,
2000,IDAHO,4,R,
2004,IDAHO,4,R,
2008,IDAHO,4,R,
2012,IDAHO,4,R,
2016,IDAHO,4,R,
2020,IDAHO,4,R,
1976,ILLINOIS,26,R,
1980,ILLINOIS,26,R,
1984,ILLINOIS,24,R,
1988,ILLINOIS,24,R,
1992,ILLINOIS,22,D,
1996,ILLINOIS,22,D,
2000,ILLINOIS,22,D,
2004,ILLINOIS,21,D,
2008,ILLINOIS,21,D,
2012,ILLINOIS,20,D,
2016,ILLINOIS,20,D,
2020,ILLINOIS,20,D,
1976,INDIANA,13,R,
1980,INDIANA,13,R,
1984,INDIANA,12,R,
1988,INDIANA,12,R,
1992,INDIANA,12,R,
1996,INDIANA,12,R,
2000,INDIANA,12,R,
2004,INDIANA,11,R,
2008,INDIANA,11,D,
2012,INDIANA,11,R,
2016,INDIANA,11,R,
2020,INDIANA,11,R,
1976,IOWA,8,R,
1980,IOWA,8,R,
1984,IOWA,8,R,
1988,IOWA,8,D,
1992,IOWA,7,D,
1996,IOWA,7,D,
2000,IOWA,7,D,
2004,IOWA,7,R,
2008,IOWA,7,D,
2012,IOWA,6,D,
2016,IOWA,6,R,
2020,IOWA,6,R,
1976,KANSAS,7,R,
1980,KANSAS,7,R,
1984,KANSAS,7,R,
1988,KANSAS,7,R,
1992,KANSAS,6,R,
1996,KANSAS,6,R,
2000,KANSAS,6,R,
2004,KANSAS,6,R,
2008,KANSAS,6,R,
2012,KANSAS,6,R,
2016,KANSAS,6,R,
2020,KANSAS,6,R,
1976,KENTUCKY,9,D,
1980,KENTUCKY,9,R,
1984,KENTUCKY,9,R,
1988,KENTUCKY,9,R,
1992,KENTUCKY,8,D,
1996,KENTUCKY,8,D,
2000,KENTUCKY,8,R,
2004,KENTUCKY,8,R,
2008,KENTUCKY,8,R,
2012,KENTUCKY,8,R,
2016,KENTUCKY,8,R,
2020,KENTUCKY,8,R,
1976,LOUISIANA,10,D,
1980,LOUISIANA,10,R,
1984,LOUISIANA,10,R,
1988,LOUISIANA,10,R,
1992,LOUISIANA,9,D,
1996,LOUISIANA,9,D,
2000,LOUISIANA,9,R,
2004,LOUISIANA,9,R,
2008,LOUISIANA,9,R,
2012,LOUISIANA,8,R,
2016,LOUISIANA,8,R,
2020,LOUISIANA,8,R,
1976,MAINE,4,R,
1980,MAINE,4,R,
1984,MAINE,4,R,
1988,MAINE,4,R,
1992,MAINE,4,D,
1996,MAINE,4,D,
2000,MAINE,4,D,
2004,MAINE,4,D,
2008,MAINE,4,D,
2012,MAINE,4,D,
2016,MAINE,4,D,
2020,MAINE,4,D,
1976,MARYLAND,10,D,
1980,MARYLAND,10,D,
1984,MARYLAND,10,R,
1988,MARYLAND,10,R,
1992,MARYLAND,10,D,
1996,MARYLAND,10,D,
2000,MARYLAND,10,D,
2004,MARYLAND,10,D,
2008,MARYLAND,10,D,
2012,MARYLAND,10,D,
2016,MARYLAND,10,D,
2020,MARYLAND,10,D,
1976,MASSACHUSETTS,14,D,
1980,MASSACHUSETTS,14,R,
1984,MASSACHUSETTS,13,R,
1988,MASSACHUSETTS,13,D,
1992,MASSACHUSETTS,12,D,
1996,MASSACHUSETTS,12,D,
2000,MASSACHUSETTS,12,D,
2004,MASSACHUSETTS,12,D,
2008,MASSACHUSETTS,12,D,
2012,MASSACHUSETTS,11,D,
2016,MASSACHUSETTS,11,D,
2020,MASSACHUSETTS,11,D,
1976,MICHIGAN,21,R,
1980,MICHIGAN,21,R,
1984,MICHIGAN,20,R,
1988,MICHIGAN,20,R,
1992,MICHIGAN,18,D,
1996,MICHIGAN,18,D,
2000,MICHIGAN,18,D,
2004,MICHIGAN,17,D,
2008,MICHIGAN,17,D,
2012,MICHIGAN,16,D,
2016,MICHIGAN,16,R,
2020,MICHIGAN,16,D,
1976,MINNESOTA,10,D,
1980,MINNESOTA,10,D,
1984,MINNESOTA,10,D,
1988,MINNESOTA,10,D,
