,min_votes_to_flip,flipped_states,electoral_votes_flipped,margin,color,flip_margin_ratio
1976,8354,"['HAWAII', 'OHIO']",29,1809553,blue,0.4616609737321869
1980,646649,"['ILLINOIS', 'MICHIGAN', 'PENNSYLVANIA', 'WISCONSIN', 'LOUISIANA', 'MAINE', 'VERMONT', 'NORTH CAROLINA', 'KENTUCKY', 'ALABAMA', 'DELAWARE', 'MISSISSIPPI', 'SOUTH CAROLINA', 'ARKANSAS', 'TENNESSEE', 'MASSACHUSETTS']",181,8161691,red,7.922978216156431
1984,2595297,"['CALIFORNIA', 'MAINE', 'GEORGIA', 'WYOMING', 'ILLINOIS', 'ALASKA', 'WASHINGTON', 'TENNESSEE', 'NEVADA', 'MONTANA', 'OREGON', 'NEW MEXICO', 'WISCONSIN', 'DELAWARE', 'PENNSYLVANIA', 'VERMONT', 'WEST VIRGINIA', 'IOWA', 'NEW YORK', 'HAWAII', 'MARYLAND', 'MASSACHUSETTS', 'RHODE ISLAND']",257,16717016,red,15.524881952616424
1988,537766,"['MAINE', 'COLORADO', 'NORTH DAKOTA', 'DELAWARE', 'CONNECTICUT', 'MISSOURI', 'CALIFORNIA', 'SOUTH DAKOTA', 'MONTANA', 'NEW MEXICO', 'MARYLAND', 'PENNSYLVANIA', 'ILLINOIS', 'VERMONT']",158,6925961,red,7.764496508138004
1992,284837,"['HAWAII', 'LOUISIANA', 'TENNESSEE', 'COLORADO', 'DELAWARE', 'KENTUCKY', 'NEW JERSEY', 'OHIO', 'MONTANA', 'NEVADA', 'NEW HAMPSHIRE', 'GEORGIA']",103,6057834,blue,4.701961130001251
1996,575514,"['IOWA', 'OREGON', 'OHIO', 'NEW HAMPSHIRE', 'MISSOURI', 'FLORIDA', 'NEW MEXICO', 'TENNESSEE', 'ARIZONA', 'KENTUCKY', 'NEVADA']",111,8291654,blue,6.940882964966941
2000,269,['FLORIDA'],25,-519208,blue,0.0518096793577911
2004,57787,"['COLORADO', 'IOWA', 'NEW MEXICO']",21,2978157,red,1.9403611025207872
2008,495316,"['IOWA', 'VIRGINIA', 'NEW HAMPSHIRE', 'OHIO', 'FLORIDA', 'INDIANA', 'NORTH CAROLINA']",97,9725011,blue,5.093217889419354
2012,214735,"['VIRGINIA', 'NEW HAMPSHIRE', 'OHIO', 'FLORIDA']",64,5081900,blue,4.2254865306283085
2016,38875,"['WISCONSIN', 'PENNSYLVANIA', 'MICHIGAN']",46,-2984757,blue,1.302451087307945
2020,32280,"['NE-02', 'WISCONSIN', 'ARIZONA', 'GEORGIA']",38,7052762,blue,0.45769302863190336
2024,115460,"['PENNSYLVANIA', 'MICHIGAN', 'WISCONSIN']",44,2484570,red,4.6470817888004765
