,min_votes_to_flip,flipped_states,number_of_flipped_states,electoral_votes_flipped,total_electoral_votes,electoral_votes_to_win,popular_vote_margin,color,flip_margin_ratio,popular_margin_ratio
1900,73232,"['OHIO', 'KANSAS', 'INDIANA', 'MARYLAND', 'DELAWARE', 'NEBRASKA', 'UTAH']",7,70,447,224,860014,red,0.5393117559534768,6.333510766940319
1904,188832,"['MAINE', 'CONNECTICUT', 'NEW HAMPSHIRE', 'WEST VIRGINIA', 'NEW YORK', 'MONTANA', 'RHODE ISLAND', 'WYOMING', 'DELAWARE', 'MISSOURI', 'NEVADA', 'MARYLAND']",12,105,476,239,2546330,red,1.4612497433766807,19.70441481874017
1908,72963,"['IDAHO', 'KANSAS', 'OHIO', 'WYOMING', 'MONTANA', 'DELAWARE', 'INDIANA', 'MARYLAND', 'MISSOURI']",9,86,483,242,1269315,red,0.5130239514537296,8.92492080834794
1912,188414,"['ALABAMA', 'DELAWARE', 'NEBRASKA', 'UTAH', 'WEST VIRGINIA', 'NEW HAMPSHIRE', 'NEW MEXICO', 'RHODE ISLAND', 'NEW JERSEY', 'KANSAS', 'IDAHO', 'WYOMING', 'OREGON', 'IOWA', 'MASSACHUSETTS', 'MONTANA', 'ARIZONA', 'NEVADA', 'NORTH DAKOTA', 'ILLINOIS', 'MAINE', 'VERMONT']",22,168,531,266,2120264,deepskyblue,1.3540541890454088,15.237468293662756
1916,1887,['CALIFORNIA'],1,13,531,266,584693,deepskyblue,0.010558476249051794,3.271577717799067
1920,596492,"['CONNECTICUT', 'SOUTH DAKOTA', 'MONTANA', 'MAINE', 'OREGON', 'INDIANA', 'VERMONT', 'COLORADO', 'IDAHO', 'RHODE ISLAND', 'MISSOURI', 'NEW HAMPSHIRE', 'WEST VIRGINIA', 'MARYLAND', 'UTAH', 'WYOMING', 'DELAWARE', 'NEW MEXICO', 'OKLAHOMA', 'ARIZONA', 'NEVADA', 'TENNESSEE']",22,140,531,266,7027428,red,2.3021495881605634,27.12222540457879
1924,439205,"['MAINE', 'SOUTH DAKOTA', 'INDIANA', 'IDAHO', 'NEW HAMPSHIRE', 'NEBRASKA', 'MONTANA', 'RHODE ISLAND', 'WYOMING', 'UTAH', 'DELAWARE', 'MISSOURI', 'WEST VIRGINIA', 'NEW MEXICO', 'KENTUCKY', 'MARYLAND', 'NEVADA', 'ARIZONA']",18,117,531,266,7339279,red,1.522073681181662,25.43441765177825
1928,411498,"['MARYLAND', 'MISSOURI', 'MONTANA', 'NEW HAMPSHIRE', 'WISCONSIN', 'NEW MEXICO', 'FLORIDA', 'CONNECTICUT', 'NORTH CAROLINA', 'NORTH DAKOTA', 'ARIZONA', 'UTAH', 'TENNESSEE', 'NEW YORK', 'VIRGINIA', 'NEVADA', 'TEXAS']",17,179,531,266,6407359,red,1.1289400989702563,17.57851679375832
1932,874622,"['OREGON', 'ARIZONA', 'NEW MEXICO', 'NEW YORK', 'SOUTH CAROLINA', 'TENNESSEE', 'VIRGINIA', 'COLORADO', 'IDAHO', 'WEST VIRGINIA', 'KANSAS', 'UTAH', 'RHODE ISLAND', 'MICHIGAN', 'NEVADA', 'WYOMING', 'MASSACHUSETTS', 'OHIO', 'NEW JERSEY']",19,207,531,266,7060910,deepskyblue,2.2669189779578387,18.301061350677532
1936,1947814,"['NORTH DAKOTA', 'WEST VIRGINIA', 'UTAH', 'MARYLAND', 'ALABAMA', 'PENNSYLVANIA', 'GEORGIA', 'ARIZONA', 'INDIANA', 'MISSISSIPPI', 'MICHIGAN', 'TENNESSEE', 'KENTUCKY', 'IDAHO', 'NEW MEXICO', 'NEBRASKA', 'SOUTH CAROLINA', 'CONNECTICUT', 'ARKANSAS', 'VIRGINIA', 'IOWA', 'MASSACHUSETTS', 'RHODE ISLAND', 'SOUTH DAKOTA', 'WYOMING', 'KANSAS', 'NEVADA', 'DELAWARE', 'NEW HAMPSHIRE']",29,258,531,266,11073857,deepskyblue,4.356351558756602,24.767053837480223
1940,426514,"['NEW MEXICO', 'CONNECTICUT', 'MISSOURI', 'OHIO', 'IDAHO', 'NEW YORK', 'NEW JERSEY', 'DELAWARE', 'MINNESOTA', 'NEW HAMPSHIRE', 'NEVADA', 'ILLINOIS', 'WYOMING', 'WISCONSIN']",14,184,531,266,4964706,deepskyblue,0.8588441959563197,9.99711365331388
1944,278659,"['MINNESOTA', 'CONNECTICUT', 'ILLINOIS', 'MONTANA', 'OREGON', 'DELAWARE', 'MISSOURI', 'PENNSYLVANIA', 'MARYLAND', 'NEW MEXICO', 'NEW HAMPSHIRE', 'IDAHO', 'NEVADA', 'NEW JERSEY', 'MICHIGAN']",15,168,531,266,3599597,deepskyblue,0.5833411643456899,7.535350034110697
1948,12487,"['CALIFORNIA', 'OHIO']",2,50,531,266,2368927,deepskyblue,0.02610695790883915,4.952789098911877
1952,713453,"['NEW HAMPSHIRE', 'UTAH', 'MASSACHUSETTS', 'MONTANA', 'WASHINGTON', 'MARYLAND', 'WYOMING', 'OKLAHOMA', 'ARIZONA', 'FLORIDA', 'PENNSYLVANIA', 'VIRGINIA', 'NEW MEXICO', 'NEVADA', 'TEXAS', 'MISSOURI', 'DELAWARE', 'RHODE ISLAND', 'TENNESSEE']",19,177,531,266,7117752,red,1.164778550807053,11.6203938585499
1956,1177118,"['PENNSYLVANIA', 'MICHIGAN', 'FLORIDA', 'ARIZONA', 'RHODE ISLAND', 'IDAHO', 'OREGON', 'SOUTH DAKOTA', 'OKLAHOMA', 'WASHINGTON', 'NEW MEXICO', 'VIRGINIA', 'MONTANA', 'KENTUCKY', 'TEXAS', 'LOUISIANA', 'WEST VIRGINIA', 'WYOMING', 'DELAWARE', 'NEVADA', 'TENNESSEE']",21,193,531,266,10264919,red,1.903900140694953,16.602737132829752
1960,4488,"['ILLINOIS', 'HAWAII']",2,30,537,269,112827,deepskyblue,0.006507351959265368,0.16359291432888454
1964,2040508,"['MARYLAND', 'CALIFORNIA', 'COLORADO', 'HAWAII', 'TEXAS', 'NEW HAMPSHIRE', 'INDIANA', 'VERMONT', 'NEW MEXICO', 'DELAWARE', 'NORTH CAROLINA', 'OKLAHOMA', 'MONTANA', 'ARKANSAS', 'TENNESSEE', 'KANSAS', 'NORTH DAKOTA', 'UTAH', 'SOUTH DAKOTA', 'NEVADA', 'ALASKA', 'VIRGINIA', 'WYOMING', 'NEBRASKA', 'FLORIDA', 'IDAHO']",26,217,538,270,16163998,deepskyblue,2.8936994971293277,22.92260205997696
1968,45732,"['NEW JERSEY', 'DELAWARE', 'MISSOURI', 'ALASKA']",4,35,538,270,605083,red,0.0628704103669034,0.8318423973593327
1972,3295863,"['SOUTH CAROLINA', 'WEST VIRGINIA', 'ARIZONA', 'ILLINOIS', 'MARYLAND', 'CONNECTICUT', 'NEW YORK', 'WASHINGTON', 'IDAHO', 'IOWA', 'CALIFORNIA', 'NEW HAMPSHIRE', 'MAINE', 'MICHIGAN', 'NEW MEXICO', 'WYOMING', 'HAWAII', 'NEVADA', 'VERMONT', 'WISCONSIN', 'DELAWARE', 'MONTANA', 'OREGON', 'ALASKA', 'SOUTH DAKOTA', 'RHODE ISLAND']",26,252,538,270,18898218,red,4.313603757011878,24.73386307793421
1976,8354,"['HAWAII', 'OHIO']",2,29,538,270,1809553,deepskyblue,0.01050139457740617,2.2746983554858833
1980,639047,"['NEW MEXICO', 'CONNECTICUT', 'MICHIGAN', 'PENNSYLVANIA', 'MISSOURI', 'WISCONSIN', 'LOUISIANA', 'MAINE', 'VERMONT', 'NORTH CAROLINA', 'KENTUCKY', 'ALABAMA', 'DELAWARE', 'MISSISSIPPI', 'SOUTH CAROLINA', 'ARKANSAS', 'TENNESSEE', 'MASSACHUSETTS']",18,179,538,270,8161691,red,0.8076567610616542,10.315117538844643
1984,2576382,"['CALIFORNIA', 'GEORGIA', 'SOUTH DAKOTA', 'WYOMING', 'ILLINOIS', 'ALASKA', 'WASHINGTON', 'TENNESSEE', 'NEVADA', 'MONTANA', 'OREGON', 'NEW MEXICO', 'WISCONSIN', 'DELAWARE', 'PENNSYLVANIA', 'VERMONT', 'WEST VIRGINIA', 'IOWA', 'NEW YORK', 'HAWAII', 'MARYLAND', 'MASSACHUSETTS', 'RHODE ISLAND']",23,256,538,270,16717016,red,2.812133193006572,18.246702384049396
1988,525862,"['COLORADO', 'WYOMING', 'NORTH DAKOTA', 'DELAWARE', 'CONNECTICUT', 'MISSOURI', 'CALIFORNIA', 'SOUTH DAKOTA', 'MONTANA', 'NEW MEXICO', 'MARYLAND', 'PENNSYLVANIA', 'ILLINOIS', 'VERMONT']",14,157,538,270,6925961,red,0.5819676440899251,7.664910577734656
1992,276118,"['NEW MEXICO', 'LOUISIANA', 'TENNESSEE', 'COLORADO', 'KENTUCKY', 'NEW JERSEY', 'OHIO', 'MONTANA', 'NEVADA', 'NEW HAMPSHIRE', 'GEORGIA']",11,101,538,270,6057834,deepskyblue,0.3300649352357031,7.2413916763073765
1996,561125,"['VERMONT', 'OREGON', 'DELAWARE', 'OHIO', 'NEW HAMPSHIRE', 'MISSOURI', 'FLORIDA', 'NEW MEXICO', 'TENNESSEE', 'ARIZONA', 'KENTUCKY', 'NEVADA']",12,110,538,270,8291654,deepskyblue,0.6502099536486197,9.608048051700408
2000,269,['FLORIDA'],1,25,538,270,-519208,deepskyblue,0.00026596283211935634,-0.5133458369480549
2004,18776,"['NEVADA', 'IOWA', 'NEW MEXICO']",3,17,538,270,2978157,red,0.015547259433257847,2.4660300123547554
2008,484153,"['NEVADA', 'VIRGINIA', 'NEW HAMPSHIRE', 'OHIO', 'FLORIDA', 'NE-02', 'INDIANA', 'NORTH CAROLINA']",8,96,538,270,9725011,deepskyblue,0.3754501234448937,7.541534557160546
2012,214735,"['VIRGINIA', 'NEW HAMPSHIRE', 'OHIO', 'FLORIDA']",4,64,538,270,5081900,deepskyblue,0.1698555412772893,4.019786598444858
