year,winner_party,loser_party,D_total,R_total,S_two_party,winner_EC,loser_EC,total_EC,PV_share,EC_share,m,f,f_over_S,alpha,C1_euclidean,C2_max,C3_harmonic_like,C4_weighted_geom,C5_efficiency_ratio,popular_vote_safety,electoral_college_safety,state_concentration_R,margin_sensitivity_sigma,vote_efficiency_gap_eta,recount_vulnerability_V,coalition_brittleness_count,institutional_distortion_D
1900,R,D,6358265,7218279,13576544,292,155,447,0.5316727880084946,0.6532438478747203,0.0633455760169893,73232,0.005394008961338025,0.5,0.06357481681923405,0.0633455760169893,0.0006831397896782502,0.018484766828303766,0.08515210217508087,0.0633455760169893,0.005394008961338025,3.4121674514809133,0.04310719079856791,0.4168036165165065,0.0,0,0.914847897824919
1904,R,D,5084439,7630769,12715208,343,133,476,0.6001293097210836,0.7205882352941176,0.20025861944216722,196066,0.015419802806214416,0.5,0.20085140024272993,0.20025861944216722,0.0061568847016866355,0.05556931187303794,0.07699944626187494,0.20025861944216722,0.015419802806214416,4.137507947639428,0.09835745490933054,0.15031775729854524,0.01680672268907563,1,0.9230005537381251
1908,R,D,6408968,7678283,14087251,327,156,483,0.5450519054427297,0.6770186335403726,0.09010381088545949,72963,0.005179363951135676,0.5,0.09025254870097006,0.09010381088545949,0.0009329254818551975,0.02160278755068649,0.057482185273159146,0.09010381088545949,0.005179363951135676,3.236491972573958,0.05305531375482877,0.33737342489773703,0.053830227743271224,3,0.9425178147268408
1912,D,R,6282798,3469473,9752271,433,8,531,0.6442394802195304,0.815442561205273,0.2884789604390608,467434,0.04793078453213616,0.5,0.29243370312237826,0.2884789604390608,0.027276887639822188,0.117588362072355,0.1661500182168786,0.2884789604390608,0.04793078453213616,8.04831773453314,0.11497614026457509,0.14837893465929786,0.02824858757062147,1,0.8338499817831213
1916,D,R,9132755,8548062,17680817,276,255,531,0.5165346714464609,0.519774011299435,0.033069342892921745,1887,0.0001067258373863606,0.5,0.03306951511247178,0.033069342892921745,7.058681711545854e-06,0.0018786573162936785,0.003227334686750141,0.033069342892921745,0.0001067258373863606,1.0,0.0020316428098470615,0.024931531609280223,0.054613935969868174,3,0.9967726653132498
1920,R,D,9139529,16166957,25306486,404,127,531,0.6388463811214248,0.7608286252354048,0.2776927622428495,596492,0.023570716218759096,0.5,0.27869131465678837,0.2776927622428495,0.013005706811364504,0.08090375328023755,0.08488055658485581,0.2776927622428495,0.023570716218759096,13.046920441096471,0.15638786018855955,0.11072902605394536,0.02448210922787194,0,0.9151194434151442
1924,R,D,8384245,15723524,24107769,382,136,531,0.65221812935075,0.71939736346516,0.30443625870149993,549426,0.022790412501463738,0.5,0.30528812376860237,0.30443625870149993,0.013780841215190937,0.08329602581281723,0.07486103198965458,0.30443625870149993,0.022790412501463738,12.112452296288458,0.15685849922081785,0.05604730088284481,0.0,0,0.9251389680103455
1928,R,D,15021291,21428650,36449941,444,87,531,0.5878925839687916,0.8361581920903954,0.17578516793758323,411498,0.011289400989702563,0.5,0.17614731289903526,0.17578516793758323,0.003961157543996796,0.044547831023402054,0.06422271641092687,0.17578516793758323,0.011289400989702563,9.859213201684605,0.07384563785818685,0.32737100307506994,0.0,0,0.9357772835890731
1932,D,R,22821440,15760530,38581970,472,59,531,0.5915053067533876,0.8888888888888888,0.1830106135067753,874622,0.022669189779578387,0.5,0.18440926446734943,0.1830106135067753,0.008263123419148321,0.06441042096790053,0.12386816996676066,0.1830106135067753,0.022669189779578387,6.7483902402083995,0.09066503893517915,0.3669233860517784,0.0,1,0.8761318300332394
1936,D,R,27757431,16683574,44441005,523,8,531,0.6245905329998725,0.9849340866290018,0.24918106599974504,1947814,0.04382920683274377,0.5,0.2530063300084738,0.24918106599974504,0.021606839837178104,0.10450554282193074,0.1758930063843158,0.24918106599974504,0.04382920683274377,15.536160201653068,0.10770210035147887,0.33385555078202617,0.0,1,0.8241069936156842
1940,D,R,27313050,22348344,49661394,449,82,531,0.5499855682665694,0.8455743879472694,0.0999711365331388,426514,0.008588441959563197,0.5,0.10033937150999235,0.0999711365331388,0.0017157194970744073,0.029301814000952747,0.08590921597371526,0.0999711365331388,0.008588441959563197,7.0810768898920164,0.03462153428207609,0.5531625923373226,0.035781544256120526,1,0.9140907840262847
1944,D,R,25023052,22013319,47036371,421,99,531,0.5319936778285893,0.7928436911487758,0.06398735565717857,278659,0.005924330344277623,0.5,0.06426102531104208,0.06398735565717857,0.0007578771677708909,0.019470034226213045,0.09258595363774794,0.06398735565717857,0.005924330344277623,7.422270471060291,0.02515875608025258,0.6497883803375765,0.047080979284369114,2,0.907414046362252
