year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes,votes_to_win
1900,ALABAMA,AL,William Jennings Bryan,William McKinley,,D,97129,55612,0,R,D,False,11,97129,97129,1,447,224,155,292,0,152741,
1900,ARKANSAS,AR,William Jennings Bryan,William McKinley,,D,81142,44800,0,R,D,False,8,81142,81142,1,447,224,155,292,0,125942,
1900,CALIFORNIA,CA,William Jennings Bryan,William McKinley,,R,124985,164755,0,R,D,True,9,164755,124985,19886,447,224,155,292,0,289740,
1900,COLORADO,CO,William Jennings Bryan,William McKinley,,D,122733,93072,0,R,D,False,4,122733,122733,1,447,224,155,292,0,215805,
1900,CONNECTICUT,CT,William Jennings Bryan,William McKinley,,R,74014,102572,0,R,D,True,6,102572,74014,14280,447,224,155,292,0,176586,
1900,DELAWARE,DE,William Jennings Bryan,William McKinley,,R,18852,22535,0,R,D,True,3,22535,18852,1842,447,224,155,292,0,41387,
1900,FLORIDA,FL,William Jennings Bryan,William McKinley,,D,28273,7355,2244,R,D,False,4,28273,28273,1,447,224,155,292,0,37872,
1900,GEORGIA,GA,William Jennings Bryan,William McKinley,,D,81180,34260,0,R,D,False,13,81180,81180,1,447,224,155,292,0,115440,
1900,IDAHO,ID,William Jennings Bryan,William McKinley,,D,29414,27198,0,R,D,False,3,29414,29414,1,447,224,155,292,0,56612,
1900,ILLINOIS,IL,William Jennings Bryan,William McKinley,,R,503061,597985,0,R,D,True,24,597985,503061,47463,447,224,155,292,0,1101046,
1900,INDIANA,IN,William Jennings Bryan,William McKinley,,R,309584,336063,0,R,D,True,15,336063,309584,13240,447,224,155,292,0,645647,
1900,IOWA,IA,William Jennings Bryan,William McKinley,,R,209265,307808,0,R,D,True,13,307808,209265,49272,447,224,155,292,0,517073,
1900,KANSAS,KS,William Jennings Bryan,William McKinley,,R,162601,185955,0,R,D,True,10,185955,162601,11678,447,224,155,292,0,348556,
1900,KENTUCKY,KY,William Jennings Bryan,William McKinley,,D,235126,227132,0,R,D,False,13,235126,235126,1,447,224,155,292,0,462258,
1900,LOUISIANA,LA,William Jennings Bryan,William McKinley,,D,53668,14234,0,R,D,False,8,53668,53668,1,447,224,155,292,0,67902,
1900,MAINE,ME,William Jennings Bryan,William McKinley,,R,36822,65412,0,R,D,True,6,65412,36822,14296,447,224,155,292,0,102234,
1900,MARYLAND,MD,William Jennings Bryan,William McKinley,,R,122238,136185,0,R,D,True,8,136185,122238,6974,447,224,155,292,0,258423,
1900,MASSACHUSETTS,MA,William Jennings Bryan,William McKinley,,R,156997,238866,0,R,D,True,15,238866,156997,40935,447,224,155,292,0,395863,
1900,MICHIGAN,MI,William Jennings Bryan,William McKinley,,R,211685,316269,0,R,D,True,14,316269,211685,52293,447,224,155,292,0,527954,
1900,MINNESOTA,MN,William Jennings Bryan,William McKinley,,R,112901,190461,0,R,D,True,9,190461,112901,38781,447,224,155,292,0,303362,
1900,MISSISSIPPI,MS,William Jennings Bryan,William McKinley,,D,51706,5707,0,R,D,False,9,51706,51706,1,447,224,155,292,0,57413,
1900,MISSOURI,MO,William Jennings Bryan,William McKinley,,D,351922,314092,0,R,D,False,17,351922,351922,1,447,224,155,292,0,666014,
1900,MONTANA,MT,William Jennings Bryan,William McKinley,,D,37311,25409,0,R,D,False,3,37311,37311,1,447,224,155,292,0,62720,
1900,NEBRASKA,NE,William Jennings Bryan,William McKinley,,R,114013,121835,0,R,D,True,8,121835,114013,3912,447,224,155,292,0,235848,
1900,NEVADA,NV,William Jennings Bryan,William McKinley,,D,6347,3849,0,R,D,False,3,6347,6347,1,447,224,155,292,0,10196,
1900,NEW HAMPSHIRE,NH,William Jennings Bryan,William McKinley,,R,35489,54799,0,R,D,True,4,54799,35489,9656,447,224,155,292,0,90288,
1900,NEW JERSEY,NJ,William Jennings Bryan,William McKinley,,R,164879,221754,0,R,D,True,10,221754,164879,28438,447,224,155,292,0,386633,
1900,NEW YORK,NY,William Jennings Bryan,William McKinley,,R,678462,822013,0,R,D,True,36,822013,678462,71776,447,224,155,292,0,1500475,
1900,NORTH CAROLINA,NC,William Jennings Bryan,William McKinley,,D,157733,132997,0,R,D,False,11,157733,157733,1,447,224,155,292,0,290730,
1900,NORTH DAKOTA,ND,William Jennings Bryan,William McKinley,,R,20531,35898,0,R,D,True,3,35898,20531,7684,447,224,155,292,0,56429,
1900,OHIO,OH,William Jennings Bryan,William McKinley,,R,474882,543918,0,R,D,True,23,543918,474882,34519,447,224,155,292,0,1018800,
1900,OREGON,OR,William Jennings Bryan,William McKinley,,R,32810,46172,0,R,D,True,4,46172,32810,6682,447,224,155,292,0,78982,
1900,PENNSYLVANIA,PA,William Jennings Bryan,William McKinley,,R,424232,712665,0,R,D,True,32,712665,424232,144217,447,224,155,292,0,1136897,
1900,RHODE ISLAND,RI,William Jennings Bryan,William McKinley,,R,19812,33784,0,R,D,True,4,33784,19812,6987,447,224,155,292,0,53596,
1900,SOUTH CAROLINA,SC,William Jennings Bryan,William McKinley,,D,47233,3579,0,R,D,False,9,47233,47233,1,447,224,155,292,0,50812,
1900,SOUTH DAKOTA,SD,William Jennings Bryan,William McKinley,,R,39544,54530,0,R,D,True,4,54530,39544,7494,447,224,155,292,0,94074,
1900,TENNESSEE,TN,William Jennings Bryan,William McKinley,,D,145240,123108,0,R,D,False,12,145240,145240,1,447,224,155,292,0,268348,
1900,TEXAS,TX,William Jennings Bryan,William McKinley,,D,267432,130641,0,R,D,False,15,267432,267432,1,447,224,155,292,0,398073,
1900,UTAH,UT,William Jennings Bryan,William McKinley,,R,45006,47139,0,R,D,True,3,47139,45006,1067,447,224,155,292,0,92145,
1900,VERMONT,VT,William Jennings Bryan,William McKinley,,R,12849,42569,0,R,D,True,4,42569,12849,14861,447,224,155,292,0,55418,
1900,VIRGINIA,VA,William Jennings Bryan,William McKinley,,D,146079,115769,0,R,D,False,12,146079,146079,1,447,224,155,292,0,261848,
1900,WASHINGTON,WA,William Jennings Bryan,William McKinley,,R,44833,57456,0,R,D,True,4,57456,44833,6312,447,224,155,292,0,102289,
1900,WEST VIRGINIA,WV,William Jennings Bryan,William McKinley,,R,98807,119829,0,R,D,True,6,119829,98807,10512,447,224,155,292,0,218636,
1900,WISCONSIN,WI,William Jennings Bryan,William McKinley,,R,159279,265756,0,R,D,True,12,265756,159279,53239,447,224,155,292,0,425035,
1900,WYOMING,WY,William Jennings Bryan,William McKinley,,R,10164,14482,0,R,D,True,3,14482,10164,2160,447,224,155,292,0,24646,
1904,ALABAMA,AL,Alton B. Parker,Theodore Roosevelt,,D,79857,22472,0,R,D,False,11,79857,79857,1,476,239,133,343,0,102329,
1904,ARKANSAS,AR,Alton B. Parker,Theodore Roosevelt,,D,64434,46860,0,R,D,False,9,64434,64434,1,476,239,133,343,0,111294,
1904,CALIFORNIA,CA,Alton B. Parker,Theodore Roosevelt,,R,89404,205226,29535,R,D,True,10,205226,89404,57912,476,239,133,343,0,324165,
1904,COLORADO,CO,Alton B. Parker,Theodore Roosevelt,,R,100105,134661,0,R,D,True,5,134661,100105,17279,476,239,133,343,0,234766,
1904,CONNECTICUT,CT,Alton B. Parker,Theodore Roosevelt,,R,72909,111089,0,R,D,True,7,111089,72909,19091,476,239,133,343,0,183998,
1904,DELAWARE,DE,Alton B. Parker,Theodore Roosevelt,,R,19347,23705,0,R,D,True,3,23705,19347,2180,476,239,133,343,0,43052,
1904,FLORIDA,FL,Alton B. Parker,Theodore Roosevelt,,D,27046,8314,2337,R,D,False,5,27046,27046,1,476,239,133,343,0,37697,
1904,GEORGIA,GA,Alton Parker,Theodore Roosevelt,,D,83466,24004,22635,R,D,False,13,83466,83466,1,476,239,133,343,0,130105,
1904,IDAHO,ID,Alton B. Parker,Theodore Roosevelt,,R,18480,47783,4949,R,D,True,3,47783,18480,14652,476,239,133,343,0,71212,
1904,ILLINOIS,IL,Alton B. Parker,Theodore Roosevelt,,R,327606,632645,69225,R,D,True,27,632645,327606,152520,476,239,133,343,0,1029476,
1904,INDIANA,IN,Alton B. Parker,Theodore Roosevelt,,R,274345,368289,0,R,D,True,15,368289,274345,46973,476,239,133,343,0,642634,
1904,IOWA,IA,Alton B. Parker,Theodore Roosevelt,,R,149276,308158,0,R,D,True,13,308158,149276,79442,476,239,133,343,0,457434,
1904,KANSAS,KS,Alton B. Parker,Theodore Roosevelt,,R,86174,212955,0,R,D,True,10,212955,86174,63391,476,239,133,343,0,299129,
