,min_votes_to_flip,flipped_states,number_of_flipped_states,electoral_votes_flipped,total_electoral_votes,electoral_votes_to_win,popular_vote_margin,color,flip_margin_ratio,popular_margin_ratio
1900,73232,"['OHIO', 'KANSAS', 'INDIANA', 'MARYLAND', 'DELAWARE', 'NEBRASKA', 'UTAH']",7,70,447,224,860014,red,0.5393117559534768,6.333510766940319
1904,196066,"['COLORADO', 'MAINE', 'CONNECTICUT', 'WEST VIRGINIA', 'NEW YORK', 'MONTANA', 'RHODE ISLAND', 'WYOMING', 'DELAWARE', 'MISSOURI', 'NEVADA', 'MARYLAND']",12,106,476,239,2546330,red,1.5172290299572757,19.70441481874017
1908,72963,"['IDAHO', 'KANSAS', 'OHIO', 'WYOMING', 'MONTANA', 'DELAWARE', 'INDIANA', 'MARYLAND', 'MISSOURI']",9,86,483,242,1269315,red,0.5130239514537296,8.92492080834794
1912,209355,"['FLORIDA', 'GEORGIA', 'DELAWARE', 'NEBRASKA', 'UTAH', 'WEST VIRGINIA', 'NEW HAMPSHIRE', 'NEW MEXICO', 'RHODE ISLAND', 'NEW JERSEY', 'KANSAS', 'IDAHO', 'WYOMING', 'OREGON', 'IOWA', 'MASSACHUSETTS', 'MONTANA', 'ARIZONA', 'NEVADA', 'NORTH DAKOTA', 'ILLINOIS', 'MAINE', 'VERMONT']",23,176,531,266,2120264,blue,1.504548572545573,15.237468293662758
1916,1887,['CALIFORNIA'],1,13,531,266,584693,blue,0.010558476249051794,3.2715777177990675
1920,596492,"['CONNECTICUT', 'SOUTH DAKOTA', 'MONTANA', 'MAINE', 'OREGON', 'INDIANA', 'VERMONT', 'COLORADO', 'IDAHO', 'RHODE ISLAND', 'MISSOURI', 'NEW HAMPSHIRE', 'WEST VIRGINIA', 'MARYLAND', 'UTAH', 'WYOMING', 'DELAWARE', 'NEW MEXICO', 'OKLAHOMA', 'ARIZONA', 'NEVADA', 'TENNESSEE']",22,140,531,266,7027428,red,2.3021495881605634,27.12222540457879
1924,549426,"['NORTH DAKOTA', 'VERMONT', 'MAINE', 'OREGON', 'SOUTH DAKOTA', 'INDIANA', 'IDAHO', 'NEW HAMPSHIRE', 'NEBRASKA', 'MONTANA', 'RHODE ISLAND', 'WYOMING', 'UTAH', 'DELAWARE', 'MISSOURI', 'WEST VIRGINIA', 'NEW MEXICO', 'KENTUCKY', 'MARYLAND', 'NEVADA', 'ARIZONA']",21,131,531,266,7339279,red,1.9040467534680063,25.43441765177825
1928,411498,"['MARYLAND', 'MISSOURI', 'MONTANA', 'NEW HAMPSHIRE', 'WISCONSIN', 'NEW MEXICO', 'FLORIDA', 'CONNECTICUT', 'NORTH CAROLINA', 'NORTH DAKOTA', 'ARIZONA', 'UTAH', 'TENNESSEE', 'NEW YORK', 'VIRGINIA', 'NEVADA', 'TEXAS']",17,179,531,266,6407359,red,1.1289400989702563,17.57851679375832
1932,874622,"['OREGON', 'ARIZONA', 'NEW MEXICO', 'NEW YORK', 'SOUTH CAROLINA', 'TENNESSEE', 'VIRGINIA', 'COLORADO', 'IDAHO', 'WEST VIRGINIA', 'KANSAS', 'UTAH', 'RHODE ISLAND', 'MICHIGAN', 'NEVADA', 'WYOMING', 'MASSACHUSETTS', 'OHIO', 'NEW JERSEY']",19,207,531,266,7060910,blue,2.2669189779578387,18.301061350677532
1936,1947814,"['NORTH DAKOTA', 'WEST VIRGINIA', 'UTAH', 'MARYLAND', 'ALABAMA', 'PENNSYLVANIA', 'GEORGIA', 'ARIZONA', 'INDIANA', 'MISSISSIPPI', 'MICHIGAN', 'TENNESSEE', 'KENTUCKY', 'IDAHO', 'NEW MEXICO', 'NEBRASKA', 'SOUTH CAROLINA', 'CONNECTICUT', 'ARKANSAS', 'VIRGINIA', 'IOWA', 'MASSACHUSETTS', 'RHODE ISLAND', 'SOUTH DAKOTA', 'WYOMING', 'KANSAS', 'NEVADA', 'DELAWARE', 'NEW HAMPSHIRE']",29,258,531,266,11073857,blue,4.356351558756602,24.767053837480226
